ユーザー名,表示名,業種,備考
"yuluumu","SPA&ごはん ゆるうむ yuluumu","サウナ・温浴施設","HP: https://yuluumu.co.jp/"
"sauna_ikitai","潮騒の湯","サウナ・温浴施設","HP: https://sauna-ikitai.com/saunas/1271"
"hitachinaka_kirari","ひたちなか温泉 喜楽里別邸","サウナ・温浴施設","HP: http://www.yurakirari.com/kirari-net/hitachinaka_open/hitachinaka_top.html"
"kinunoyu1126","天然温泉きぬの湯","サウナ・温浴施設","HP: http://www.kinunoyu.com/access/"
"yamanoyu.official","やまの湯","サウナ・温浴施設","HP: https://www.yamanoyu.com/"
"tsuchiura_yura","湯楽の里 土浦店","サウナ・温浴施設","HP: http://www.yurakirari.com/yura/tsuchiura/"
"art_hotel_kashima_wedding","天然温泉ろっこうの湯","サウナ・温浴施設","HP: https://art-kashima-central.com/news/82"
"cocoplala","岩盤温浴リゾート ココプララ","サウナ・温浴施設","HP: https://www.cocoplala.jp/"
"dormyinn.official","香梅の湯 ドーミーイン水戸","サウナ・温浴施設","HP: https://www.hotespa.net/hotels/mito/"
"uraranoyu_official","鵜来来の湯十王","サウナ・温浴施設","HP: https://uraranoyu.com/"
"ajigauraonsen","阿字ヶ浦温泉 のぞみ","サウナ・温浴施設","HP: http://www.ajigauraonsen.jp/"
"ikoi.official","いこいの郷 常総","サウナ・温浴施設","HP: http://ikoinosato-joso.com/"
"hotel_bestland","ホテル ベストランド まほろばの湯 谷鶴","サウナ・温浴施設","HP: http://www.hotel-bestland.co.jp/"
"sauna_ikitai","筑西遊湯館","サウナ・温浴施設","HP: https://sauna-ikitai.com/saunas/1272"
"sauna_ikitai","フォレスパ大子","サウナ・温浴施設","HP: https://sauna-ikitai.com/saunas/985"
"sauna_ikitai","さんふらわあ さっぽろ(商船三井さんふらわあ)","サウナ・温浴施設","HP: https://sauna-ikitai.com/saunas/6220"
"sauna_ikitai","ホテル ドマーニ水戸","サウナ・温浴施設","HP: https://sauna-ikitai.com/saunas/5376"
"molferry_","さんふらわあ ふらの(商船三井さんふらわあ)","サウナ・温浴施設","HP: https://www.sunflower.co.jp"
"cosmictown0624","美と健康のまち Cosmic Town","サウナ・温浴施設","HP: https://cosmictown.jp/sleepinghotel/"
"akenogenkikan","あけの元気館","サウナ・温浴施設","HP: https://akenogenkikan.com"
"casarela_official","CasaRela(カサリラ)","サウナ・温浴施設","HP: https://www.casarela.jp/"
"kasamahanasaka","笠間市 いこいの家はなさか","サウナ・温浴施設","HP: https://kasamahanasaka.com/"
"hotel_bepal","ホテル ビーパル","サウナ・温浴施設","HP: https://hotel-bepal.com/"
"ikoinomurahinuma","いこいの村涸沼","サウナ・温浴施設","HP: http://www.ikoinomurahinuma.com/"
"resol_hotel_official","スパ&ゴルフリゾート久慈 松ヶ沢温泉","サウナ・温浴施設","HP: http://www.spagolf-kuji.jp/"
"terracethegarden","ホテル テラス ザ ガーデン水戸","サウナ・温浴施設","HP: http://www.hotel-terrace.com/"
"accordia_golf","石岡ゴルフ倶楽部 ウエストコース【アコーディア・ゴルフ】","サウナ・温浴施設","HP: https://reserve.accordiagolf.com/golfLinkCourseDetail/?gid=062"
"accordia_golf","取手桜が丘ゴルフクラブ 【アコーディア・ゴルフ】","サウナ・温浴施設","HP: https://reserve.accordiagolf.com/golfLinkCourseDetail/?gid=141"
"hitachihotelcrane","日立ホテルクレイン","サウナ・温浴施設","HP: http://hitachi-hotel.co.jp/"
"snowpeak_official","スノーピーク鹿沼キャンプフィールド&スパ","サウナ・温浴施設","HP: https://www.snowpeak.co.jp/locations/kanuma/spa/"
"edoyu_miya","宮の街道温泉 江戸遊","サウナ・温浴施設","HP: https://www.edoyu.com/utsunomiya/"
"bellsakuranoyu4126","宇都宮天然温泉 ベルさくらの湯","サウナ・温浴施設","HP: http://bellsakuranoyu.com/"
"sanoyasuraginoyu","スーパー銭湯 佐野やすらぎの湯","サウナ・温浴施設","HP: http://www.yasuraginoyu.jp/sano/"
"omaruyama_hotel","お丸山ホテル","サウナ・温浴施設","HP: http://www.omaruyama.jp/"
"okashinoshiro1989","源泉 那須山 令和の湯","サウナ・温浴施設","HP: http://www.okashinoshiro.co.jp/facilities/onsen/"
"oyamayasuragi","スーパー銭湯 小山やすらぎの湯","サウナ・温浴施設","HP: http://www.yasuraginoyu.jp/oyama/"
"tochigi_yura","栃木温泉 湯楽の里","サウナ・温浴施設","HP: https://www.yurakirari.com/yura/tochigi/"
"nasu_tenkuusauna","森の天空サウナ&露天風呂","サウナ・温浴施設","HP: https://lbcg.net/sauna/"
"ikiiki_yumeroman","栃木天然温泉 いきいき夢ロマン","サウナ・温浴施設","HP: https://ikiikiyumeroman.com/"
"the_key_highland_nasu","THE KEY HIGHLAND NASU","サウナ・温浴施設","HP: http://highland-nasu.the-key.jp/"
"sparesort.livemax","スパリゾートリブマックス 天然温泉 森の泉","サウナ・温浴施設","HP: https://www.sparesort-livemax.com/"
"igasiraonsen","真岡いがしら温泉 おふろcafe  いちごの湯","サウナ・温浴施設","HP: https://ofurocafe-ichigonoyu.com/"
"epinard_nasu","ホテルエピナール那須","サウナ・温浴施設","HP: http://www.epinard.jp/"
"sunvalley_nasu_official","ホテルサンバレー那須 湯遊天国・森の湯・湯処ひのき","サウナ・温浴施設","HP: http://www.nasu3800.co.jp/"
"ashino_onsen","芦野温泉","サウナ・温浴施設","HP: http://www.asinoonsen.co.jp/"
"asaya_hotel","あさやホテル","サウナ・温浴施設","HP: http://www.asaya-hotel.co.jp/"
"livemax_resorts","リブマックスリゾート鬼怒川","サウナ・温浴施設","HP: http://www.livemax-resort.com/"
"michinoekitakanezawa","道の駅たかねざわ 元気あっぷむら","サウナ・温浴施設","HP: https://www.genkiupmura.com/"
"michinoeki.haga","道の駅はが ロマンの湯","サウナ・温浴施設","HP: http://www.michinoeki-haga.gr.jp/source/roman1.html"
"hotel_floracion_nasu","ホテルフロラシオン那須","サウナ・温浴施設","HP: http://www.floracion.co.jp/"
"kamenoihotel_nikkoyunishigawa","亀の井ホテル 日光湯西川","サウナ・温浴施設","HP: https://kamenoi-hotels.com/nikkoyunishigawa"
"sautel_utsunomiya_haga","SAUTEL","サウナ・温浴施設","HP: https://sautel.jp/"
"ikiikiplaza","上三川いきいきプラザ","サウナ・温浴施設","HP: http://kaminokawaikiikiplaza.jp/"
"kinugawaonsenhotel","鬼怒川温泉ホテル","サウナ・温浴施設","HP: https://www.kinugawaonsenhotel.com/"
"dormyinn.official","塩の湯温泉 蓮月","サウナ・温浴施設","HP: https://www.hotespa.net/hotels/rengetsu/"
"yashionoyu840","日光和の代温泉 やしおの湯","サウナ・温浴施設","HP: https://www.yashionoyu.com/"
"hotel_sunshine_kinugawa","ホテルサンシャイン鬼怒川","サウナ・温浴施設","HP: http://www.sunshine-kinugawa.co.jp/"
"yutorelo_nasushiobara","ゆとりろ那須塩原","サウナ・温浴施設","HP: https://yutorelo-nasushiobara.com/"
"nikko.kinugawa.hotel.mikazuki","きぬ川ホテル三日月","サウナ・温浴施設","HP: http://www.mikazuki.co.jp/kinugawa/"
"k.taishikan","柏倉温泉 太子館","サウナ・温浴施設","HP: http://www.taishikan.jp"
"restayhotels","レステイ宇都宮","サウナ・温浴施設","HP: http://www.restayhotels.com/detail/287"
"morinokaze.nasu","ホテル森の風那須","サウナ・温浴施設","HP: https://www.morinokaze-nasu.com/"
"hanasenkyo","鬼怒川温泉 ものぐさの宿 花千郷","サウナ・温浴施設","HP: http://www.hanasenkyo.jp/"
"murasakizukagc_official","紫塚ゴルフ倶楽部","サウナ・温浴施設","HP: http://www.murasakigc.com/"
"itoenhotel","鬼怒川ロイヤルホテル","サウナ・温浴施設","HP: http://www.itoenhotel.com/"
"kinugawa_manyoutei","ホテル万葉亭","サウナ・温浴施設","HP: https://breezbay-group.com/hmt-kinugawa/"
"nagomicamp_glamping","NAGOMI CAMP","サウナ・温浴施設","HP: https://www.nagomi-camp.jp/"
"restayhotels","レステイKoakuma","サウナ・温浴施設","HP: http://www.restayhotels.com/detail/291?utm_source=Google&amp;utm_medium=GMB&amp;utm_campaign=Map"
"rakutenstay","Rakuten STAY VILLA 鬼怒川リバーサイド","サウナ・温浴施設","HP: https://stay.rakuten.co.jp/villa/kinugawa/"
"nasusportspark","那須スポーツパーク","サウナ・温浴施設","HP: http://www.tokiomarine-sports.or.jp/"
"kinugawakanaya","鬼怒川金谷ホテル","サウナ・温浴施設","HP: http://www.kinugawakanaya.com/"
"blancvert.nasu","ホテルブランヴェール那須","サウナ・温浴施設","HP: http://blancvert-nasu.com/"
"takafusa0336","湯西川温泉 上屋敷 平の高房","サウナ・温浴施設","HP: https://www.takafusa.jp/"
"kgh_yumenotoki","鬼怒川グランドホテル 夢の季","サウナ・温浴施設","HP: http://www.kgh.co.jp/"
"uguisubato","うぐいすの森ゴルフクラブ&ホテル馬頭","サウナ・温浴施設","HP: https://umgc.jp/bato/"
"mayflower.gc","メイフラワーゴルフクラブ","サウナ・温浴施設","HP: http://www.mayflower-gc.com/"
"ashikaga_cc","足利カントリークラブ多幸コース","サウナ・温浴施設","HP: http://ashikaga-cc.com"
"arrowace_gc","アローエースゴルフクラブ","サウナ・温浴施設","HP: https://www.daiwaroyalgolf.jp/arrowace_gc/"
"goldenlakescountryclub","ゴールデンレイクスカントリークラブ","サウナ・温浴施設","HP: http://www.goldenlakes-cc.jp/"
"mizunuma_village","サウナの森 水沼ヴィレッジ","サウナ・温浴施設","HP: https://www.mizunuma-village.jp/"
"gozanoyu","草津温泉 大滝乃湯","サウナ・温浴施設","HP: http://ohtakinoyu.com/"
"hanayu.skyterume","花湯スカイテルメリゾート","サウナ・温浴施設","HP: https://skyterme.com/"
"shiroiyahotel","SHIROIYA HOTEL 白井屋ホテル","サウナ・温浴施設","HP: https://www.shiroiya.com/"
"bettei_senjuan","別邸 仙寿庵","サウナ・温浴施設","HP: http://www.senjyuan.jp/"
"bandounoyu","Komorebiテラス ばんどうのゆ","サウナ・温浴施設","HP: http://www.bandounoyu.com/"
"sanazawa_terrace","さなざわ㞢テラス(温泉&サウナ)","サウナ・温浴施設","HP: https://sanazawa.jp/"
"isesaki.yumarl","天然温泉伊勢崎ゆま～る","サウナ・温浴施設","HP: http://www.yumarl.com/"
"mizunuma_village","駅の天然温泉 水沼の湯","サウナ・温浴施設","HP: https://mizunuma-village.jp/"
"hotelkurbio","ホテル クアビオ","サウナ・温浴施設","HP: http://kurbio.com/"
"yasuragi6595","前橋やすらぎの湯","サウナ・温浴施設","HP: https://maebashi-yasuragi.com/"
"aratashi_minakami","あらたし みなかみ","サウナ・温浴施設","HP: https://aratashi.jp/"
"isesaki_yura","湯楽の里 伊勢崎店","サウナ・温浴施設","HP: http://www.yurakirari.com/yura/isesaki/"
"dormyinn.official","榛名の湯 ドーミーイン高崎","サウナ・温浴施設","HP: http://www.hotespa.net/hotels/takasaki/"
"tenjin200103","高崎中尾温泉 天神の湯","サウナ・温浴施設","HP: http://tenjinnoyu.com/"
"usuitougenomori","峠の湯","サウナ・温浴施設","HP: https://usui-pass.com/"
"dormyinn.official","妙義の湯 ドーミーイン前橋","サウナ・温浴施設","HP: https://www.hotespa.net/hotels/maebashi/"
"kusatsunowresort__official","草津ナウリゾートホテル","サウナ・温浴施設","HP: https://www.kusatsu-now.co.jp/baths/"
"yuniiku_onsen","スパリゾート ゆに〜いく","サウナ・温浴施設","HP: https://yuniiku.jp/"
"megumi.spa","恵みの湯","サウナ・温浴施設","HP: https://www.megumi-spa.com/"
"sekizenkan","積善館","サウナ・温浴施設","HP: http://www.sekizenkan.co.jp/"
"earthboat_","Earthboat Kitakaruizawa","サウナ・温浴施設","HP: https://earthboat.jp/list/detail/11"
"jhibikino","伊香保温泉旅館 如心の里 ひびき野","サウナ・温浴施設","HP: http://www.j-hibikino.com/"
"dormyinn.official","湯宿 季の庭","サウナ・温浴施設","HP: https://www.hotespa.net/hotels/tokinoniwa/"
"dormyinn.official","ラビスタ草津ヒルズ","サウナ・温浴施設","HP: https://www.hotespa.net/hotels/la_kusatsu/"
"luonto.hibikino","LUONTO (ルオント)","サウナ・温浴施設","HP: https://www.j-hibikino.com/luonto/"
"fukuichi.ikaho.official","伊香保温泉 福一","サウナ・温浴施設","HP: http://www.fukuichi.jp/"
"fujimi_onsen","富士見温泉見晴らしの湯ふれあい館","サウナ・温浴施設","HP: https://peraichi.com/landing_pages/view/fujimionsen"
"earthboat_","Earthboat Minakami Fujiwara","サウナ・温浴施設","HP: https://earthboat.jp/list/detail/17"
"hotelkogureikaho","伊香保温泉 ホテル木暮","サウナ・温浴施設","HP: http://www.hotel-kogure.com/"
"notahotel_official","NOT A HOTEL KITAKARUIZAWA","サウナ・温浴施設","HP: https://notahotel.com/shop/kitakaruizawa"
"kominka_yado_loof","赤城宿 清芳山荘 -seiho-","サウナ・温浴施設","HP: https://loof-inn.com/"
"itoenhotel","ホテル湯の陣","サウナ・温浴施設","HP: http://www.itoenhotel.com/"
"iwakuraresort.hotel_official","尾瀬岩鞍リゾートホテル","サウナ・温浴施設","HP: http://www.oze-iwakura.co.jp/hotel/"
"tofukaiseki_sarugakyohotel","豆富懐石 猿ヶ京ホテル","サウナ・温浴施設","HP: http://www.sarugakyo.net/"
"notahotel_official","NOT A HOTEL MINAKAMI","サウナ・温浴施設","HP: https://notahotel.com/shop/minakami/toji"
"caribbe_kiryu","カリビアンビーチ","サウナ・温浴施設","HP: http://caribbe.info/"
"luomu1920","北軽井沢スウィートグラス","サウナ・温浴施設","HP: https://sweetgrass.jp/"
"ikaho_syusuien","いかほ秀水園","サウナ・温浴施設","HP: http://www.syusuien.com/"
"jgm_belairegolf.official","JGMベルエアゴルフクラブ","サウナ・温浴施設","HP: http://www.jgmbelaire.co.jp/"
"ikaho_shichibee","伊香保温泉 温泉宿 塚越屋七兵衛","サウナ・温浴施設","HP: http://www.tsukagoshiya.jp/"
"yunoizumi_souka","湯乃泉 草加健康センター","サウナ・温浴施設","HP: https://yunoizumi.com/souka/"
"ofurocafe.utatane","おふろcafé utatane","サウナ・温浴施設","HP: http://ofurocafe-utatane.com/"
"king_and_queen_282828","温泉バルコニー キング&クイーン","サウナ・温浴施設","HP: https://king-and-queen.site/"
"asaka_sauna_nagomi","朝霞サウナ 和(なごみ)","サウナ・温浴施設","HP: https://asaka-sauna-nagomi.com/"
"baden_garden.tokorozawa","バーデンガーデン(旧:ザ ベッドアンドスパ 所沢)","サウナ・温浴施設","HP: https://badengarden.com/"
"ryusenjinoyu_souka_yatsuka","竜泉寺の湯 草加谷塚店","サウナ・温浴施設","HP: https://ryusenjinoyu.com/souka/"
"ofurocafe.hareniwanoyu","おふろcafé ハレニワの湯","サウナ・温浴施設","HP: https://ofurocafe-hareniwanoyu.com/"
"kashiba_onsen","小江戸温泉 KASHIBA","サウナ・温浴施設","HP: https://kashiba-onsen.jp/"
"hanayu_spa","花湯スパリゾート","サウナ・温浴施設","HP: https://hanayuspa.jp/"
"nolla__naguri","ノーラ名栗 / サウナクラブ","サウナ・温浴施設","HP: http://nolla-naguri.jp/"
"sauna_yokozuna","サウナ横綱 本川越店","サウナ・温浴施設","HP: https://sauna-yokozuna.com/"
"miyazawako_kirari","宮沢湖温泉 喜楽里別邸","サウナ・温浴施設","HP: https://www.yurakirari.com/miyazawako/"
"glamping_thermae_yu_namegawa","グランピング&テルマー湯 東松山滑川店","サウナ・温浴施設","HP: https://namegawa-thermae-yu.jp/"
"yubunesaunapark","YUBUNE SAUNA PARK はにゅうの湯","サウナ・温浴施設","HP: https://yubune-sauna-park.com/"
"hanasakispa","花咲の湯(HANASAKI SPA)","サウナ・温浴施設","HP: http://hanasakispa.jp/"
"opark_ogose","BIO-RESORT HOTEL&SPA OPark OGOSE(オーパークおごせ)","サウナ・温浴施設","HP: http://youpark.jp/"
"hibikino_yu","上尾天然温泉 日々喜の湯","サウナ・温浴施設","HP: http://hibikinoyu.com/"
"kasukabe_yumoto.onsen","かすかべ湯元温泉","サウナ・温浴施設","HP: http://www.kasukabeonsen.com/"
"tere.saun_higashikawaguchi","sauna & cafe tere saun","サウナ・温浴施設","HP: https://tere-saun.com/"
"tokorozawa_yura","所沢温泉 湯楽の里","サウナ・温浴施設","HP: http://www.yurakirari.com/yura/tokorozawa/"
"seine_no_yu","天然自家源泉 星音の湯","サウナ・温浴施設","HP: http://www.beyer.jp/"
"saiboku1946","天然温泉 花鳥風月","サウナ・温浴施設","HP: http://www.saiboku.co.jp/kachofugetsu/"
"kasukabe_yura","春日部温泉 湯楽の里","サウナ・温浴施設","HP: http://www.yurakirari.com/yura/kasukabe/"
"hanayunomori","深谷花園温泉 花湯の森","サウナ・温浴施設","HP: http://spa.hanayunomori.jp/"
"yuyu_land9_4","川越湯遊ランド ホテル三光","サウナ・温浴施設","HP: http://www.kawagoe-yuyu.com/"
"kumagaya_yura","熊谷温泉 湯楽の里","サウナ・温浴施設","HP: http://www.yurakirari.com/yura/kumagaya/"
"mangan_spa","秩父温泉 満願の湯","サウナ・温浴施設","HP: http://www.chichibuonsen.co.jp/"
"kannanoyu_lumiere","かんなの湯","サウナ・温浴施設","HP: http://www.kannanoyu.com/"
"kitamoto_yura","北本温泉 湯楽の里","サウナ・温浴施設","HP: https://www.yurakirari.com/kitamoto/"
"kikusuitei_tokorozawa","中国割烹旅館 掬水亭 狭山の茶湯","サウナ・温浴施設","HP: http://www.seibu-leisure.co.jp/hotel_web/index.html"
"machijyu_kyakushitu","むすびの湯","サウナ・温浴施設","HP: https://machijyu-kyakushitsu.com/"
"sauna_bar","ビジネスホテルおぐら Sauna&Bar","サウナ・温浴施設","HP: https://lib-web.com/01mm/ogura/"
"kyukamuraokumusashi","休暇村奥武蔵(もりとそらの湯)","サウナ・温浴施設","HP: http://www.qkamura.or.jp/musashi/"
"route_inn_hotels","ホテルルートインGrand秩父","サウナ・温浴施設","HP: https://www.route-inn.co.jp/hotel_list/saitama/index_hotel_id_714/?utm_source=google&amp;utm_medium=gbp&amp;utm_campaign=web"
"hotel.le_ciel","ル・シエル スパ&リゾート","サウナ・温浴施設","HP: https://v-tsuru.jp/"
"hotel_parkwing","熊谷スポーツホテル PARK WING","サウナ・温浴施設","HP: https://www.hotel-parkwing.com/?utm_source=google&amp;utm_medium=mybusiness&amp;utm_campaign=officialwebsite"
"shinrinhotel","森林ホテル","サウナ・温浴施設","HP: https://shinrin-hotel.com/"
"plus_riverpool","+RIVERPOOL 埼玉 ちちぶ","サウナ・温浴施設","HP: https://www.riverpool-fineglamping.com/"
"businesshotel.asahi","ビジネスホテル あさひ","サウナ・温浴施設","HP: https://asahi-fukaya.jp/"
"aquaparadisepatio","アクアパラダイス パティオ","サウナ・温浴施設","HP: http://www.patio.or.jp/"
"restayhotels","レステイ 岩槻(PARME&NERO)","サウナ・温浴施設","HP: http://www.restayhotels.com/detail/324"
"restayhotels","レステイ鶴ヶ島","サウナ・温浴施設","HP: http://www.restayhotels.com/detail/318?utm_source=Google&amp;utm_medium=GMB&amp;utm_campaign=Map"
"restayhotels","レステイ所沢","サウナ・温浴施設","HP: http://www.restayhotels.com/detail/283?utm_source=Google&amp;utm_medium=GMB&amp;utm_campaign=Map"
"hotelspamu","HOTEL SPA-Mu Riverside","サウナ・温浴施設","HP: http://spamu.jp/index.html"
"lake.tsuburada.course","オリムピック・カントリークラブ レイクつぶらだコース","サウナ・温浴施設","HP: http://www.olympic-laketsuburada.jp/"
"accordia_golf","玉川カントリークラブ【アコーディア・ゴルフ】","サウナ・温浴施設","HP: https://reserve.accordiagolf.com/golfLinkCourseDetail/?gid=065"
"myth.group","HOTEL MYTH VA","サウナ・温浴施設","HP: https://hotel-myth.jp/va/index.html"
"hatoyama_cc","鳩山カントリークラブ","サウナ・温浴施設","HP: https://www.hatoyamacc.jp/"
"spa_metsaotaka","スパメッツァ おおたか 竜泉寺の湯","サウナ・温浴施設","HP: https://www.ryusenjinoyu.com/spametsaotaka/"
"maihamaeurasia","スパ&ホテル 舞浜ユーラシア","サウナ・温浴施設","HP: https://my-spa.jp/spa/"
"minamikashiwa_sumire","南柏天然温泉すみれ","サウナ・温浴施設","HP: https://minamikashiwa-sumire.com/"
"makuhari_yura","JFA夢フィールド 幕張温泉 湯楽の里","サウナ・温浴施設","HP: https://www.yurakirari.com/makuhari/"
"uneru55","天然温泉 湯～ねる","サウナ・温浴施設","HP: https://u-neru.com/"
"yunosato_ofuro","野天風呂 湯の郷","サウナ・温浴施設","HP: https://yuno310.com/"
"satoyama_terrace","SATOYAMA TERRACE","サウナ・温浴施設","HP: https://satoyama-terrace.com/"
"sumireonsen","佐倉天然温泉 澄流(すみれ)","サウナ・温浴施設","HP: http://www.sakurasomeino-sumire.com/"
"ofurocafe.karinnoyu","おふろcafé かりんの湯","サウナ・温浴施設","HP: https://www.thefarm.jp/karinnoyu/"
"houtennoyu","楽天地天然温泉 法典の湯","サウナ・温浴施設","HP: https://rakutenchi-oasis.com/hoten/"
"eden_katsuura","edén エデン レストラン&スパ","サウナ・温浴施設","HP: https://eden-katsuura.com"
"ichihara_yakutou","薬湯市原店","サウナ・温浴施設","HP: https://yakuto-ichihara.com/"
"raratennnenn","Spa Resort 蘭々の湯","サウナ・温浴施設","HP: http://www.raranoyu.jp/"
"yubune_sodegaura","天然温泉 湯舞音 袖ケ浦店","サウナ・温浴施設","HP: https://yubune-sodegaura.jp/"
"yubune_sodegaura","天然温泉 湯舞音 市原ちはら台店","サウナ・温浴施設","HP: https://yubune-ichihara.jp/"
"matsudo_yura","湯楽の里 松戸店","サウナ・温浴施設","HP: http://www.yurakirari.com/yura/matudo/"
"botanicalpoolclub","BOTANICAL POOL CLUB","サウナ・温浴施設","HP: https://botanicalpoolclub.com/"
"minamimasuo.kenbi","南増尾 健美の湯","サウナ・温浴施設","HP: http://kashiken.3riku.co.jp/"
"thefarm_katori","農園リゾート THE FARM","サウナ・温浴施設","HP: http://www.thefarm.jp/"
"ichihara_yura","市原温泉 湯楽の里","サウナ・温浴施設","HP: http://www.yurakirari.com/yura/ichihara/"
"hotel.mikazuki.group","龍宮城スパホテル三日月(スパ棟大浴場)","サウナ・温浴施設","HP: http://www.mikazuki.co.jp/ryugu/higaeri.html"
"apahotel_official","アパホテル&リゾート 東京ベイ幕張","サウナ・温浴施設","HP: https://www.apahotel.com/resort/makuhari/spa/index.html"
"taiyounosato99","スパ&リゾート九十九里 太陽の里","サウナ・温浴施設","HP: http://www.taiyounosato.co.jp/"
"ryoshiryori_kanaya","天然温泉 海辺の湯","サウナ・温浴施設","HP: http://www.umibe-4126.com/"
"arch_kisarazu","ARCH KISARAZU","サウナ・温浴施設","HP: https://greenarch.jp/"
"mikinoyu","みきの湯","サウナ・温浴施設","HP: http://www.mikinoyu.com/"
"sheratontokyobay","シェラトン・グランデ・トーキョーベイ・ホテル オアシス 舞湯","サウナ・温浴施設","HP: https://www.marriott.co.jp/hotels/hotel-information/fitness-spa-services/tyosi-sheraton-grande-tokyo-bay-hotel/"
"hanashibuki","花しぶき","サウナ・温浴施設","HP: http://hanashibuki.com/"
"tokyoclassiccamp","TOKYO CLASSIC CAMP","サウナ・温浴施設","HP: https://tokyo-classic-camp.jp/"
"hotel_emiontokyobay","ホテル エミオン 東京ベイ","サウナ・温浴施設","HP: http://www.hotel-emion.jp/"
"nagu_katsuura","NAGU KATSUURA","サウナ・温浴施設","HP: https://www.nagu-katsuura.com/"
"carnivalhills8","天然温泉リゾート美人の湯 カーニバルヒルズ","サウナ・温浴施設","HP: http://carnival-onsen.com/"
"art_hotel_narita","アートホテル成田(旧 成田ビューホテル)","サウナ・温浴施設","HP: https://art-narita.com/"
"kinkaitey","C-Shore Terrace KINKAITEY","サウナ・温浴施設","HP: https://kinkaitey.com"
"inubohsaki_hotel","絶景の宿 犬吠埼ホテル","サウナ・温浴施設","HP: http://www.inubohsaki-hotel.com/"
"yado.sansui","三水別邸 Thermal Spa & Terrace THREE","サウナ・温浴施設","HP: https://www.sansuihotel.com/"
"grandmercure_minamiboso","グランドメルキュール南房総リゾート & スパ","サウナ・温浴施設","HP: https://grand-mercure-minamiboso-resortandspa.jp/"
"seasideotsuka_official","ホテル一宮シーサイドオーツカ","サウナ・温浴施設","HP: http://www.seaside-otsuka.com/"
"thefarm_katori","ザファーム コテージ","サウナ・温浴施設","HP: https://www.thefarm.jp/cottage.html"
"yamanekochaya","滝見苑けんこう村 ごりやくの湯","サウナ・温浴施設","HP: https://www.goriyakunoyu.jp/"
"pension_thirdplace","ペンション サードプレイス","サウナ・温浴施設","HP: http://www.pension-third-place.com/"
"hotel_newotani_makuhari","ホテルニューオータニ幕張","サウナ・温浴施設","HP: http://www.newotani.co.jp/makuhari/"
"hanashibuki","たてやま温泉 千里の風","サウナ・温浴施設","HP: http://www.senrinokaze.jp/"
"camel_glamping","キャメルゴルフ&ホテルリゾート","サウナ・温浴施設","HP: http://www.camel-golf.com/"
"resolnomori","リソルの森 メディカルトレーニングセンター 長柄カルナの湯","サウナ・温浴施設","HP: https://www.resol-no-mori.com/mtc/sportclub/"
"onthewave__official","On the wave 館山","サウナ・温浴施設","HP: https://otw-tateyama.com/"
"rifure_kashiwa01","リフレッシュプラザ柏","サウナ・温浴施設","HP: https://kashiwa-refreshplaza.net/"
"kamogawakan_official","鴨川館","サウナ・温浴施設","HP: http://www.kamogawakan.co.jp/"
"luxueux_minamikashiwa","グランパークホテル ザ・ルクソー南柏","サウナ・温浴施設","HP: https://grandpark-lx.jp/minamikashiwa/"
"lump_isumi","LUMP court isumi","サウナ・温浴施設","HP: https://www.chiba-isumi-glamping.com/"
"kichimu_kokoronoyado","満ちてくる心の宿 吉夢","サウナ・温浴施設","HP: http://www.kichimu.com/"
"apahotel_official","アパホテル 千葉八千代緑が丘","サウナ・温浴施設","HP: https://www.apahotel.com/hotel/shutoken/09_chibayachiyo/"
"route_inn_hotels","ホテルルートイン千葉浜野","サウナ・温浴施設","HP: https://www.route-inn.co.jp/hotel_list/chiba/index_hotel_id_674/"
"kurkkufields_experience","KURKKU FIELDS","サウナ・温浴施設","HP: https://kurkkufields.jp/"
"hanashibuki","季の音","サウナ・温浴施設","HP: http://tokinone.jp/"
"piyoresort_inc","UMInoTERRACE VILLA","サウナ・温浴施設","HP: https://piyo-terrace.com/"
"maihamaviewhotel","東京ベイ舞浜ホテル","サウナ・温浴施設","HP: https://www.maihamahotel.jp/"
"ubarakan_official","鵜原館","サウナ・温浴施設","HP: http://www.ubarakan.com/"
"sunrise_99_official","国民宿舎 サンライズ九十九里","サウナ・温浴施設","HP: http://www.sunrise99.jp/"
"kominka_yado_loof","古民家宿るうふ 揺之家","サウナ・温浴施設","HP: https://loof-inn.com/hotels/yuraginoie/"
"tk.tei.chiba","古民家サウナ&BBQ TK亭","サウナ・温浴施設","HP: https://tk-tei.jp/"
"accordia_golf","東京湾カントリークラブ【アコーディア・ゴルフ】","サウナ・温浴施設","HP: https://reserve.accordiagolf.com/golfLinkCourseDetail/?gid=069"
"sunsetbeachpark","smallplanet CAMP&GRILL","サウナ・温浴施設","HP: https://sunsetbeachpark.jp/smallplanet/"
"mikazuki_hotel_awakamogawa","三日月シーパークホテル安房鴨川","サウナ・温浴施設","HP: https://hmihotelgroup.com/mikazukikamogawa/index.html"
"tjk_kouhou","TJKリゾート金谷城","サウナ・温浴施設","HP: https://www.tjk.gr.jp/resort/kanaya/"
"doggys_island_official","小谷流の里 ドギーズアイランド","サウナ・温浴施設","HP: http://doggys-island.jp/"
"rtfn.aki","レディトゥフライトナリタ","サウナ・温浴施設","HP: http://rtfn.jp/"
"bristolhillgolfclub","ブリストルヒル ゴルフクラブ","サウナ・温浴施設","HP: https://www.bristol-hill.com/golf/"
"watoya810","古民家ゲストハウス わとや","サウナ・温浴施設","HP: http://watoya.com/"
