ユーザー名,表示名,業種,備考
"hotel_emionsapporo","ホテルエミオン 札幌","サウナ・温浴施設","HP: https://www.hotelemion-sapporo.jp/"
"rusutsuresort_official","ルスツリゾート 雪中テントサウナ&かまくら外気浴","サウナ・温浴施設","HP: https://rusutsu.com/winter-activities/kamakura-sauna/"
"uryu_hokkaido","高齢者健康福祉センター・いきいき館","サウナ・温浴施設","HP: http://www.town.uryu.hokkaido.jp/soshiki/fukushi/genkimura.html"
"niseko_ikoinoyuyado_iroha","ニセコ温泉郷 いこいの湯宿 いろは","サウナ・温浴施設","HP: http://www.niseko-iroha.com/"
"yoichi_vineyard_glamping","余市ヴィンヤードグランピング","サウナ・温浴施設","HP: https://yoichivineyard.jp/"
"dormyinn.official","定山渓 ゆらく草庵","サウナ・温浴施設","HP: https://www.hotespa.net/hotels/yurakusoan/"
"masahiro.wada.90","HOTEL TAITO","サウナ・温浴施設","HP: https://hotel-taito.com/"
"sototomari","そととまり","サウナ・温浴施設","HP: https://sototomari.com/glamping/sototomari_obihiro/"
"noguchi_sounnkyo","層雲峡 朝陽亭","サウナ・温浴施設","HP: http://www.choyotei.com/"
"nisekogravel","Ashibetsu Star Glamping","サウナ・温浴施設","HP: http://ashibetsu-starglamping.com/"
"toyograndhotel","トーヨーグランドホテル","サウナ・温浴施設","HP: http://www.toyo-hotel.jp/"
"saroma_tsuruga","サロマ湖 鶴雅リゾート","サウナ・温浴施設","HP: http://www.s-tsuruga.com/"
"ynsw.onsen.morinoshiki","湯の沢温泉 森の四季","サウナ・温浴施設","HP: https://www.yunosawa.com/"
"kamoidake_ski_resort","雲海の里かもい岳","サウナ・温浴施設","HP: https://www.kamoidake.co.jp/"
"tapkop_hokkaido","TAPKOP","サウナ・温浴施設","HP: https://tapkop.com/"
"shinnihonkai_ferry","すいせん(新日本海フェリー)","サウナ・温浴施設","HP: http://www.snf.jp/"
"info.toyakanko","洞爺観光ホテル","サウナ・温浴施設","HP: http://www.toyakanko.com/"
"airbnb","洞爺湖の神と中島","サウナ・温浴施設","HP: https://airbnb.com/h/laketoya-nakajima/"
"i_bifuka","びふか温泉","サウナ・温浴施設","HP: https://www.bifukaonsen.com/"
